snapped_at,price,market_cap,total_volume
2023-09-01 00:00:00 UTC,0.09218725906098506,40293802.22426725,881694.0824389043
2023-09-02 00:00:00 UTC,0.09108323791613954,39726880.39219859,1191371.2255047522
2023-09-03 00:00:00 UTC,0.09083668787469407,39778006.63764811,905865.0119365194
2023-09-04 00:00:00 UTC,0.09104338474735293,39635895.316702336,643104.4129362239
2023-09-05 00:00:00 UTC,0.08233566005117367,35979649.10553386,738164.6774329756
2023-09-06 00:00:00 UTC,0.08493884890817041,37256865.10476495,195650.96185091644
2023-09-07 00:00:00 UTC,0.09347053971363058,40804469.29877172,247646.16049007344
2023-09-08 00:00:00 UTC,0.09662680736719773,41600633.98607617,233038.14459756715
2023-09-09 00:00:00 UTC,0.09344513988679055,40770363.618166,191096.61996552706
2023-09-10 00:00:00 UTC,0.09474906277211774,41579875.838776864,175588.47932782932
2023-09-11 00:00:00 UTC,0.0948920797560608,41398570.93658257,176726.8891486313
2023-09-12 00:00:00 UTC,0.08952590514678901,39051458.67990798,686456.1640008098
2023-09-13 00:00:00 UTC,0.09176460168995028,39997588.31788369,726367.0322489971
2023-09-14 00:00:00 UTC,0.09199712697345108,40075375.218577646,809907.0426553759
2023-09-15 00:00:00 UTC,0.09281536259766775,40503626.75893656,663604.4360389394
2023-09-16 00:00:00 UTC,0.09151142146024371,39933640.0978118,793237.5432986883
2023-09-17 00:00:00 UTC,0.09237226052980928,40235264.64305549,729827.2154076206
2023-09-18 00:00:00 UTC,0.09132951706631537,39748989.59962209,661040.054862016
2023-09-19 00:00:00 UTC,0.08856679330722333,38330813.758068934,686470.3117262183
2023-09-20 00:00:00 UTC,0.08998810951604397,39198159.26736077,744826.5248585884
2023-09-21 00:00:00 UTC,0.08955926463208932,38840374.765458375,818368.3930919229
2023-09-22 00:00:00 UTC,0.09132235293017398,39729578.35436023,760623.7777729004
2023-09-23 00:00:00 UTC,0.09451635706625586,41121715.50713065,763368.9594439191
2023-09-24 00:00:00 UTC,0.0946912921583533,41159471.87561788,810290.004298164
2023-09-25 00:00:00 UTC,0.09650716184146385,41860802.12332041,709124.2217931797
2023-09-26 00:00:00 UTC,0.09790279570565064,42614192.78644587,1046921.9887302937
2023-09-27 00:00:00 UTC,0.09957474639588178,43399673.50432826,884438.5835343235
2023-09-28 00:00:00 UTC,0.09948259884891061,43249521.44282866,758607.8562628712
2023-09-29 00:00:00 UTC,0.09918639908719536,43140582.969586164,696526.7046051036
2023-09-30 00:00:00 UTC,0.09812678602161963,42620186.20299154,691958.7651410812
2023-10-01 00:00:00 UTC,0.0982090395410199,42821676.532382116,667870.4172615355
2023-10-02 00:00:00 UTC,0.10018504955879129,43576992.3664465,607923.8244223134
2023-10-03 00:00:00 UTC,0.10059371619182908,43685191.58167881,670406.0616422865
2023-10-04 00:00:00 UTC,0.10086419255565894,43793643.14306779,640112.1118680827
2023-10-05 00:00:00 UTC,0.10085937188452603,43800213.822890826,640952.4520925324
2023-10-06 00:00:00 UTC,0.09824398479816399,42700869.69440451,633546.9915971112
2023-10-07 00:00:00 UTC,0.09982822365876855,43440112.961955026,662074.6124856244
2023-10-08 00:00:00 UTC,0.10110652941254664,43989458.068068184,583279.1760085428
2023-10-09 00:00:00 UTC,0.10136663982954425,44058465.34310755,547375.1454331923
2023-10-10 00:00:00 UTC,0.09920913535772855,43493218.956958905,518514.2957591445
2023-10-11 00:00:00 UTC,0.0953624633647723,41437945.88879092,559049.485561277
2023-10-12 00:00:00 UTC,0.09820982747646298,42411653.66778124,705545.3353372413
2023-10-13 00:00:00 UTC,0.0995211225493703,43211985.555780865,684096.0605013822
2023-10-14 00:00:00 UTC,0.10009774035232961,43422465.422742166,610312.7532443666
2023-10-15 00:00:00 UTC,0.10109152741470345,43879536.90460445,646551.3173237634
2023-10-16 00:00:00 UTC,0.10234547734147177,44456861.61569774,628874.2220789269
2023-10-17 00:00:00 UTC,0.10534324802065324,45567232.050131336,610654.568166468
2023-10-18 00:00:00 UTC,0.10561529360454315,45751750.90214113,595545.7100372193
2023-10-19 00:00:00 UTC,0.10001146225548468,43411270.80926432,689519.6571967968
2023-10-20 00:00:00 UTC,0.10209661665628116,44392600.8286256,777147.608157834
2023-10-21 00:00:00 UTC,0.10314125930932447,44805998.67921933,804772.1801018236
2023-10-22 00:00:00 UTC,0.10320305189216117,44700520.14612263,708113.7199058669
2023-10-23 00:00:00 UTC,0.10286169307203309,44626335.14962032,822712.5494993171
2023-10-24 00:00:00 UTC,0.11221552635024577,48673582.46894477,1009741.0907139975
2023-10-25 00:00:00 UTC,0.11258375177374992,48974876.39668179,911391.4041665102
2023-10-26 00:00:00 UTC,0.11059428065275187,47992676.38422764,675247.5870384794
2023-10-27 00:00:00 UTC,0.1020922494501358,44316674.58884888,820659.784407018
2023-10-28 00:00:00 UTC,0.10860034509361141,47023635.932849534,751223.765427955
2023-10-29 00:00:00 UTC,0.10403551354347543,45104934.63876669,1170915.2937269192
2023-10-30 00:00:00 UTC,0.10243094137460584,44446649.633238226,1385652.3417267324
